Matched Sentences,NLI Topic,label
There's no scheduled fire alarm test this morning.,This text is about a weak consumer or reduced consumption.,
"2024 started off slow due to a difficult macro and continued softness in consumer demand, price compression exacerbated by inclement weather in January.",This text is about a weak consumer or reduced consumption.,
"At the outset of this presentation, I will discuss the summary of 2023, and then I will hand over to my colleagues.",This text is about a weak consumer or reduced consumption.,
"As JoeBen said, we're now more than one-third complete with Stage 4 on the Joby side and expect progress to continue to accelerate in the back half of the year.",This text is about a weak consumer or reduced consumption.,
"Recycled PET foam is both gaining shares in existing markets while growing in new applications, in recognition as a superior material option driven by energy efficiency considerations of customers.",This text is about a weak consumer or reduced consumption.,
"As you can see, a little bit of a shift especially of the A320, with a 6% reduction Next page.",This text is about a strong consumer or increased consumption.,
"In summary, we have delivered a strong performance on all fronts.",This text is about a strong consumer or increased consumption.,
"In addition, as we rapidly transform our organization, we are also starting to see a decline in non-marketing-related operating expenses.",This text is about a strong consumer or increased consumption.,
"Weekday and weekend occupancy was up about 100 basis points in the quarter versus last year, and is down approximately 9% and 7% versus 2019, respectively.",This text is about a weak consumer or reduced consumption.,
"We have a number of additional Virginia HRM development opportunities we are exploring, and we anticipate that we will have deployed in 2025 the remaining 500-plus machines we are permitted under law.",This text is about a weak consumer or reduced consumption.,
Non-GAAP net income was a record $2.6 million or $0.18 for diluted shares.,This text is about a weak consumer or reduced consumption.,
"On the call, we have Carl Eschenbach, our CEO; Aneel Bhusri, our Executive Chair; Zane Rowe, our CFO; and Doug Robinson, our Co-President.",This text is about a weak consumer or reduced consumption.,
"Additionally, we posted a set of supplemental financial tables for Q1, which can be found on the Events & Presentations page of our IR website.",This text is about a weak consumer or reduced consumption.,
"Before we begin taking questions, I would like to remind you that a replay of this teleconference will be available two hours after the call has ended.",This text is about a strong consumer or increased consumption.,
"Having worked several years to meet shelf life requirements, we are thrilled to now be in German retailers, Germany being one of the strongest, in my view, plant-based markets in the world.",This text is about a weak consumer or reduced consumption.,
I'm also happy to state that Ashok Leyland is now back to number one position in MHCV buses with a very impressive market share gain in FY 2024.,This text is about a weak consumer or reduced consumption.,
"Organic EBITDA is down year-on-year slightly, but we are fully on track to meet our guidance.",This text is about a weak consumer or reduced consumption.,
"In fact, it is at capacity, I guess.",This text is about a weak consumer or reduced consumption.,
